"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Hash","Length","Canonical Link Element 1","URL Encoded Address"
"https://oralbenefit-production.up.railway.app/","text/html","200","OK","Indexable","","50b3e203a5fc01ae07b22571bc3141cd","46","","https://oralbenefit-production.up.railway.app/"
"https://oralbenefit-production.up.railway.app/shedule.html","text/html","200","OK","Indexable","","5bd0fa79a544d4a658bf1dbcdda07cba","58","","https://oralbenefit-production.up.railway.app/shedule.html"
"https://oralbenefit-production.up.railway.app/gallery","text/html","404","Not Found","Non-Indexable","Client Error","","53","","https://oralbenefit-production.up.railway.app/gallery"
"https://oralbenefit-production.up.railway.app/our-team","text/html","404","Not Found","Non-Indexable","Client Error","","54","","https://oralbenefit-production.up.railway.app/our-team"
"https://oralbenefit-production.up.railway.app/galery.html/","text/html","404","Not Found","Non-Indexable","Client Error","","58","","https://oralbenefit-production.up.railway.app/galery.html/"
"https://oralbenefit-production.up.railway.app/index.html","text/html","200","OK","Indexable","","50b3e203a5fc01ae07b22571bc3141cd","56","","https://oralbenefit-production.up.railway.app/index.html"
"https://oralbenefit-production.up.railway.app/smilemakeover.html","text/html","200","OK","Indexable","","e5fb9673c37646acf5873ce01ccb002a","64","","https://oralbenefit-production.up.railway.app/smilemakeover.html"
"https://oralbenefit-production.up.railway.app/invisalign","text/html","404","Not Found","Non-Indexable","Client Error","","56","","https://oralbenefit-production.up.railway.app/invisalign"
"https://oralbenefit-production.up.railway.app/aesthetic-dentistry","text/html","404","Not Found","Non-Indexable","Client Error","","65","","https://oralbenefit-production.up.railway.app/aesthetic-dentistry"
"https://oralbenefit-production.up.railway.app/implant-dentistry","text/html","404","Not Found","Non-Indexable","Client Error","","63","","https://oralbenefit-production.up.railway.app/implant-dentistry"
"https://oralbenefit-production.up.railway.app/smilemakeover.html/","text/html","404","Not Found","Non-Indexable","Client Error","","65","","https://oralbenefit-production.up.railway.app/smilemakeover.html/"
"https://oralbenefit-production.up.railway.app/galery.html","text/html","200","OK","Indexable","","1539fe0c385738f169477cd54f36b514","57","","https://oralbenefit-production.up.railway.app/galery.html"
"https://oralbenefit-production.up.railway.app/contact","text/html","404","Not Found","Non-Indexable","Client Error","","53","","https://oralbenefit-production.up.railway.app/contact"
